"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://cj.politiaromana.ro/ro/obtinere-certificatului-de-cazier-judiciar-persoane-fizice","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,322","",""
"https://sv.politiaromana.ro/ro/utile/documente-eliberate-de-poli-ie/certificat-de-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,315","",""
"https://bz.politiaromana.ro/ro/utile/informatii-cazier","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,292","",""
"https://tl.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,370","",""
"https://sm.politiaromana.ro/ro/utile/program-ghiseu-cazier","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,353","",""
"https://ot.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,371","",""
"https://ms.politiaromana.ro/ro/utile/documente-eliberari-acte/informatii-cazier-judiciar-si-certificate-de-integritate-comportamentala","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,248","",""
"https://cs.politiaromana.ro/ro/ipj-caras-severin/servicii-judetene/serviciul-cazier-judiciar-si-evidente-operative1456222897","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,288","",""
"https://nt.politiaromana.ro/ro/utile/documente-eliberari-acte","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,319","",""
"https://hub.mai.gov.ro/serviciu/view?id=90","text/html; charset=UTF-8","502","Bad Gateway","Non-Indexable","Server Error","1","0,314","",""
