Țara,Clicuri,Expuneri,CTR,Poziție
Uzbekistan,3,1201,0.25%,16.28
Uruguay,3,577,0.52%,17.77
Panama,3,484,0.62%,13.31
Côte d’Ivoire,3,302,0.99%,14.44
Laos,3,118,2.54%,13.34
Sint-Maarten,3,59,5.08%,8.22
Bolivia,2,372,0.54%,14.83
Guatemala,2,317,0.63%,13.51
Kârgâzstan,2,216,0.93%,17.25
Zambia,2,191,1.05%,9.32
Mozambic,2,101,1.98%,14.56
Congo – Brazzaville,2,90,2.22%,11.71
Capul Verde,2,77,2.6%,11.7
Insulele Aland,2,74,2.7%,5.59
Bermude,2,72,2.78%,14.4
Insulele Cayman,2,66,3.03%,16.8
Republica Centrafricană,2,57,3.51%,4.18
Insulele Virgine (S.U.A.),2,25,8%,20.24
Groenlanda,2,16,12.5%,7.69
Guineea Ecuatorială,2,6,33.33%,3.17
Trinidad și Tobago,1,761,0.13%,21.33
El Salvador,1,197,0.51%,15.57
Camerun,1,169,0.59%,10.05
Guyana,1,117,0.85%,16.87
Rwanda,1,92,1.09%,10.12
Botswana,1,86,1.16%,18.02
Insula Man,1,85,1.18%,7.78
Togo,1,61,1.64%,14.43
Aruba,1,60,1.67%,14.2
Réunion,1,58,1.72%,8.4
Mali,1,55,1.82%,10.33
Antilele Neerlandeze,1,45,2.22%,9.07
Haiti,1,42,2.38%,10.19
Turkmenistan,1,42,2.38%,11.76
Saint Vincent și Grenadinele,1,42,2.38%,18.6
Fiji,1,33,3.03%,12.88
Sahara de Vest,1,32,3.12%,11.78
Mauritania,1,26,3.85%,8.23
Polinezia Franceză,1,21,4.76%,19.38
Saint-Martin,1,17,5.88%,8
Niger,1,13,7.69%,9.23
Swaziland,1,13,7.69%,16.69
Anguilla,1,10,10%,12.2
Antarctica,1,5,20%,2
Samoa Americană,1,2,50%,21
Nepal,0,744,0%,15.68
Jamaica,0,608,0%,18.27
Barbados,0,391,0%,20.71
Honduras,0,336,0%,17
Ghana,0,335,0%,12.53
Porto Rico,0,261,0%,15.92
Myanmar (Burma),0,189,0%,18.37
Mongolia,0,138,0%,10.75
Madagascar,0,124,0%,13.79
Nicaragua,0,122,0%,20.11
Belize,0,116,0%,20.9
Yemen,0,109,0%,11.3
Burkina Faso,0,97,0%,13.32
Benin,0,90,0%,10.13
Gabon,0,90,0%,17.38
Sudan,0,83,0%,9.28
Namibia,0,68,0%,12.06
Malawi,0,65,0%,9.65
Tadjikistan,0,64,0%,11.31
Guadelupa,0,62,0%,9.92
Saint Kitts și Nevis,0,60,0%,22.4
Curaçao,0,50,0%,12.48
St. Lucia,0,50,0%,14.66
Brunei,0,46,0%,11.67
Grenada,0,46,0%,29.78
Antigua și Barbuda,0,43,0%,21.65
Surinam,0,38,0%,14.05
Sierra Leone,0,32,0%,8.72
Dominica,0,30,0%,18.03
Papua Noua Guinee,0,29,0%,7.9
Guineea,0,29,0%,11.14
Insulele Virgine Britanice,0,26,0%,9.15
Ciad,0,23,0%,7.57
Liberia,0,21,0%,6.62
Noua Caledonie,0,19,0%,8.74
Lesotho,0,19,0%,14.74
Insulele Turks și Caicos,0,19,0%,23.53
Timorul de Est (Timor-Leste),0,18,0%,8.89
Guiana Franceză,0,17,0%,10.47
Guam,0,16,0%,12.44
Burundi,0,16,0%,15.81
Bhutan,0,15,0%,9.33
Mayotte,0,15,0%,14.2
Djibouti,0,14,0%,4.93
Gambia,0,10,0%,8
Saint-Barthélemy,0,10,0%,10.2
Vanuatu,0,9,0%,12
Guineea-Bissau,0,8,0%,3.5
Insulele Solomon,0,7,0%,11.14
Coreea de Nord,0,6,0%,8
Sfânta Elena,0,5,0%,9.8
Samoa,0,4,0%,2.5
Montserrat,0,4,0%,13.25
Kiribati,0,4,0%,22.75
Svalbard și Jan Mayen,0,3,0%,6
Insulele Cook,0,2,0%,3
São Tomé și Príncipe,0,2,0%,3.5
Eritreea,0,2,0%,7.5
Palau,0,1,0%,3
Comore,0,1,0%,6
Nauru,0,1,0%,8
Tokelau,0,1,0%,8
Saint-Pierre și Miquelon,0,1,0%,55
Insulele Marshall,0,1,0%,86
