Raport privind anunțul
Toată perioada
Starea anunțului	Adresa URL finală	Titlul 1	Poziția titlului 1	Titlul 2	Poziția titlului 2	Titlul 3	Poziția titlului 3	Titlul 4	Poziția titlului 4	Titlul 5	Poziția titlului 5	Titlul 6	Poziția titlului 6	Titlul 7	Poziția titlului 7	Titlul 8	Poziția titlului 8	Titlul 9	Poziția titlului 9	Titlul 10	Poziția titlului 10	Titlul 11	Poziția titlului 11	Titlul 12	Poziția titlului 12	Titlul 13	Poziția titlului 13	Titlul 14	Poziția titlului 14	Titlul 15	Poziția titlului 15	Descriere	Descrierea 1	Poziția descrierii 1	Descrierea 2	Poziția descrierii 2	Descrierea 3	Poziția descrierii 3	Descrierea 4	Poziția descrierii 4	Descrierea 5	Codul imaginii	Cod de imagine pătrat	ID-ul imaginii în format portret	Cod de siglă	Numele companiei	Codul imaginii din Rețeaua de display	Textul îndemnului	Nume anunț	Cale 1	Cale 2	Adresa URL finală mobilă	Șablon de monitorizare	Sufixul adresei URL finale	Parametru personalizat	Campanie	Grup de anunțuri	Stare	Motive pentru stare	Tip de anunț	Puterea anunțului	Îmbunătățiri privind puterea anunțului	Codul monedei	CPM med.	Af.	Interacțiuni	Rata de interacțiune	Cost mediu	Cost	Conv. (comparabil cu alte platforme)	Cost / Conv. (comparabil cu alte platforme)	Valoare conv. / Cost (comparabil cu alte platforme)	Rata de conv.	Conversii	Cost/Conversie
Activat	https://eghiseul.ro/servicii/cazier-fiscal-online/	Cazier Fiscal Online	 --	Cazier Fiscal Rapid Online	 --	Cerere Online in 3 Minute	 --	Primesti Actul pe Email	 --	Fara Drum la Ghiseu	 --	"Serviciu Privat, Nu ANAF"	 --	Cazier Fiscal PF si PJ	 --	Certificat Atestare Fiscala	 --	Obtinere Cazier Fiscal	 --	Cazier Fiscal pentru Firma	 --	Cazier Fiscal Persoana Fizica	 --	Eliberare Cazier Fiscal	 --	 --	 --	 --	 --	 --	 --	 --	Completezi cererea online in 3 minute. Ne ocupam noi de tot si primesti actul pe email.	 --	"Serviciu privat de intermediere, nu ANAF. Tarif 198 lei, fara drumuri si fara cozi."	 --	"Cazier fiscal pentru persoane fizice si firme. Suport pe WhatsApp si telefon, zilnic."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	cazier	fiscal		 --	 --		Search-Cazier-Fiscal-2026-08	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă două sitelinkuri în anunț	RON	"552,63"	99	19	"19,19%"	"2,88"	"54,71"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/asistenta-pentru-obtinere-cazier-online/	{KeyWord:cazier judiciar online} Rapid	 --	{KeyWord:cazier judiciar online} Firme	 --	Cazier Persoane Juridice	 --	Comanda {KeyWord:cazier judiciar online}	 --	Obține {KeyWord:cazier judiciar online}	 --	Cazier în 24h	 --	Scoate Cazierul Azi Online	 --	Documente Online Imediat	 --	Fără Stat La Cozi	 --	Simplu si Usor	 --	Suport Avocat Documente	 --	Primești Actele Pe Email	 --	Documente Livrate Sigur	 --	Simplu. Rapid. Convenabil.	 --	 --	 --	 --	Asistență online pentru obținerea cazierului judiciar. Rapid și sigur.	 --	"Documente autentice emise de autorități, livrate simplu prin email/WhatsApp."	 --	Avocații noștri te ajută să obții cazierul fără cozi sau drumuri inutile.	 --	Comandă online cazier judiciar românesc cu suport specializat și livrare rapidă.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		ASSISTENTA NOU	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Bună	Adăugați încă patru sitelinkuri în anunț	RON	"298,16"	275.982	44.679	"16,19%"	"1,84"	"82287,61"	"0,00"	0	"0,00"	"8,29%"	"3.703,00"	"22,22"
Activat	https://eghiseul.ro/servicii/cazier-judiciar-online/	Cazier online rapid	 --	"Online, Simplu si Rapid"	 --	Antecedenti penale	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Echipa noastră vă oferă suport pentru verificarea și finalizarea eficientă a procesului.	 --	"Online, simplu și accesibil — obține cazierul tău în doar câteva clicuri."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-27-cazier-u8d	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	"Adăugați mai multe titluri, mărind șansele pentru o performanță mai bună;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente;Adăugați încă șase sitelinkuri în anunț"	RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Activat		 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Obține rapid documente oficiale online. Simplu, sigur și fără drumuri."	 --	 --	Aplică online pentru documente oficiale. Proces rapid și asistență dedicată.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-20	Dinamic new	Neeligibil	respins; campanie întreruptă	Anunț dinamic extins afișat în rețeaua de căutare	 --	 --	RON	"638,95"	285	45	"15,79%"	"4,05"	"182,10"	"0,00"	0	"0,00"	"8,89%"	"4,00"	"45,53"
Dezactivat	https://eghiseul.ro	eGhiseul	 --	Totul 100% Online	 --	Raspundem Cerintelor Tale	 --	Documente Oficiale Rapid	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Platformă online pentru informații și servicii administrative în România.	 --	Accesează platforma pentru informații și servicii administrative online.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-20	Grupul de anunțuri 1	Eliminat	aprobat și etichetat; eliminat; grup de anunțuri întrerupt; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	"Adăugați mai multe titluri, mărind șansele pentru o performanță mai bună;Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente;Adăugați încă șase sitelinkuri în anunț"	RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/cazier-judiciar-online/	Ajutor Obtinere Cazier Online	 --	Asistenta Cazier Judiciar	 --	Avocat pentru Cazierul Tau	 --	Serviciu Privat - Cazier	 --	150.000+ Au Ales Serviciul	 --	Fara Cozi - Avocat Dedicat	 --	Primesti Cazierul in 24-48h	 --	Formular Online - 2 Minute	 --	4.9 din 400+ Recenzii	 --	Aplica Acum - eGhiseul.ro	 --	Serviciu Privat de Asistenta	 --	Avocat din Barou Te Ajuta	 --	 --	 --	 --	 --	 --	 --	 --	Serviciu privat de asistenta juridica. Un avocat depune cererea pentru tine. 24-48h.	 --	Nu stai la coada. Un avocat din barou se ocupa de obtinerea cazierului tau. Aplica!	 --	"150.000+ clienti au ales eGhiseul.ro. Serviciu privat, avocat dedicat, 24-48h."	 --	"Completezi formularul online, platesti securizat, primesti cazierul acasa. Simplu."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Asistenta	Cazier		 --	 --		GOOG_Conv_CazierJudiciar-Generic_RO_2026Q1	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/	Documente Oficiale Rapid	 --	Acte Pentru Angajare	 --	Acte Persoane Fizice	 --	Acte Persoane Juridice	 --	Servicii Firme si PFA	 --	Primesti Actele Pe Email	 --	400+ Recenzii Google	 --	Rating 4.9 din 5 Stele	 --	Pret 250 RON Cu TVA Inclus	 --	Procedura Simpla Online	 --	Procesare in 24 de Ore	 --	Fara Deplasari la Ghiseu	 --	Asistenta Completa Inclusa	 --	Livrare Nationala Rapida	 --	Cerere Cazier Simpla	 --	 --	"Asistenta completa obtinere documente. Pret 250 RON cu TVA, fara costuri ascunse."	 --	"Documente oficiale livrate rapid. Rating 4.9 din 5, peste 400 clienti multumiti."	 --	"Platforma online pentru acte oficiale. Peste 400 recenzii pozitive, experienta din 2023."	 --	"Primesti documentele pe email. Fara deplasari la ghiseu, totul online si securizat."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=cazier_judiciar_2026_v3&utm_term={keyword}&utm_content={creative}&utm_matchtype={matchtype}&utm_device={device}	 --		Cazier Judiciar 2026 v3	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"224,13"	169	16	"9,47%"	"2,37"	"37,88"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/plan-amplasament-delimitare/	Plan de Amplasament (PAD)	 --	PAD din Arhiva OCPI	 --	"Comanzi Online, Fara Drumuri"	 --	Ridicat de Topograf Autorizat	 --	Primesti Planul pe Email	 --	Plan Amplasament Delimitare	 --	"Serviciu Privat, Nu ANCPI"	 --	PAD pentru Imobilul Tau	 --	Termen 4 Zile Lucratoare	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Completezi datele imobilului, restul facem noi. Primesti planul scanat pe email."	 --	"Serviciu privat de intermediere, nu ANCPI. Documentul e ridicat de la OCPI de topograf."	 --	Ai nevoie doar de numarul cadastral sau de cartea funciara. Termen 4 zile lucratoare.	 --	"Plan de amplasament si delimitare, scanat si trimis pe email. Suport pe WhatsApp."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	plan	amplasament		 --	 --		Search-Cadastru-Documente-2026-08	Grupul de anunțuri 1	Eligibil		Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Adăugați încă două sitelinkuri în anunț	RON	"244,99"	1.914	168	"8,78%"	"2,79"	"468,91"	"0,00"	0	"0,00"	"0,60%"	"1,00"	"468,91"
Activat	https://eghiseul.ro/servicii/asistenta-pentru-obtinere-cazier-online/	Procesare Documente Online	 --	Servicii Administrative Online	 --	Cazier Judiciar si Fiscal	 --	Aplică Rapid pentru Cazier	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Platformă online pentru solicitarea documentelor. Asistență rapidă și sigură.	 --	Aplică online pentru documente oficiale. Proces simplu și suport dedicat.	 --	Serviciu privat de asistență pentru documente administrative. 100% online.	 --	Trimite cererea online. Echipa noastră te asistă în procesarea documentelor.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-24-Judiciar	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	"Adăugați mai multe titluri, mărind șansele pentru o performanță mai bună;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente;Adăugați încă șase sitelinkuri în anunț"	RON	"247,12"	59	9	"15,25%"	"1,62"	"14,58"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/cazier-fiscal-online/	Cazier Fiscal Online	 --	Servicii Administrative Online	 --	Persoana Fizica	 --	Online Rapid și ieftin	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Completezi formularul în 2 minute, noi depunem actele. Primești cazierul fiscal pe email."	 --	"Fără cozi, fără ghișeu. Cazier fiscal 100% online — rapid, simplu și la preț corect."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-26-Fiscal	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	În așteptare		RON	"1378,29"	111	33	"29,73%"	"4,64"	"152,99"	"0,00"	0	"0,00"	"3,03%"	"1,00"	"152,99"
Activat	https://eghiseul.ro/	eGhiseul	 --	400+ Recenzii Google	 --	Rating 4.9 din 5 Stele	 --	Cei Mai Vechi pe Piata	 --	Primesti Actele Pe Email	 --	Servicii Firme si PFA	 --	Fara Deplasari la Ghiseu	 --	Totul 100% Online	 --	Platforma Originala	 --	Tot Ce Ai Nevoie Online	 --	Raspundem Cerintelor Tale	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Platforma online cu experienta din 2018. Suport dedicat si procesare rapida in 24 ore.	 --	"Procedura simpla si rapida. Peste 400 clienti multumiti, rating 4.9 stele pe Google."	 --	"Documente oficiale livrate rapid. Rating 4.9 din 5, peste 400 clienti multumiti."	 --	"Asistenta completa obtinere documente. Pret 250 RON cu TVA, fara costuri ascunse."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		CAMPANIE V4 - MINIMALIST + AI	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă două sitelinkuri în anunț	RON	"367,77"	44.850	7.717	"17,21%"	"2,14"	"16494,61"	"0,00"	0	"0,00"	"1,52%"	"117,00"	"140,98"
