camp,sablon,n_urluri,tipuri,urluri
meta_description,"Duplicat {LOC}de {LOC}online de la Starea Civilă, 998 RON, fără deplasare. Pentru act pierdut, din altă localitate sau diaspora. Email + curier.",2,serviciu,/servicii/eliberare-certificat-de-casatorie/ /servicii/eliberare-certificat-de-nastere/
meta_description,"Update 21 august: e-Terra merge din nou pentru profesioniști, iar din 20 august a fost reactivat și „Link de plată"". Platformele online pentru public rămân OPRITE, iar între 11 și 19 august OCPI-urile au înregistrat 329.476 de cereri — deci întârzierile continuă. Noi eliberăm extrasul de carte funciară în 2 zile lucrătoare, prin partener autorizat.",2,articol,/ancpi-nu-functioneaza/ /ancpi-nu-functioneaza/?utm_source=embed&utm_medium=widget&utm_campaign=ancpi-status
h1,"Cazier Judiciar Online {LOC}— Rapid, Fără Drum la Ghișeu",48,locatie-cazier,/servicii/cazier-judiciar-online/alba-iulia/ /servicii/cazier-judiciar-online/alexandria/ /servicii/cazier-judiciar-online/arad/ /servicii/cazier-judiciar-online/bacau/ /servicii/cazier-judiciar-online/baia-mare/ /servicii/cazier-judiciar-online/barlad/ /servicii/cazier-judiciar-online/bistrita/ /servicii/cazier-judiciar-online/botosani/ /servicii/cazier-judiciar-online/braila/ /servicii/cazier-judiciar-online/brasov/ /servicii/cazier-judiciar-online/bucuresti/ /servicii/cazier-judiciar-online/buzau/ /servicii/cazier-judiciar-online/calarasi/ /servicii/cazier-judiciar-online/cluj-napoca/ /servicii/cazier-judiciar-online/constanta/ /servicii/cazier-judiciar-online/craiova/ /servicii/cazier-judiciar-online/deva/ /servicii/cazier-judiciar-online/drobeta-turnu-severin/ /servicii/cazier-judiciar-online/focsani/ /servicii/cazier-judiciar-online/galati/ /servicii/cazier-judiciar-online/giurgiu/ /servicii/cazier-judiciar-online/iasi/ /servicii/cazier-judiciar-online/ilfov/ /servicii/cazier-judiciar-online/lugoj/ /servicii/cazier-judiciar-online/medias/ /servicii/cazier-judiciar-online/miercurea-ciuc/ /servicii/cazier-judiciar-online/onesti/ /servicii/cazier-judiciar-online/oradea/ /servicii/cazier-judiciar-online/piatra-neamt/ /servicii/cazier-judiciar-online/pitesti/ /servicii/cazier-judiciar-online/ploiesti/ /servicii/cazier-judiciar-online/ramnicu-valcea/ /servicii/cazier-judiciar-online/resita/ /servicii/cazier-judiciar-online/satu-mare/ /servicii/cazier-judiciar-online/sebes/ /servicii/cazier-judiciar-online/sfantu-gheorghe/ /servicii/cazier-judiciar-online/sibiu/ /servicii/cazier-judiciar-online/slatina/ /servicii/cazier-judiciar-online/slobozia/ /servicii/cazier-judiciar-online/suceava/ /servicii/cazier-judiciar-online/targoviste/ /servicii/cazier-judiciar-online/targu-jiu/ /servicii/cazier-judiciar-online/targu-mures/ /servicii/cazier-judiciar-online/timisoara/ /servicii/cazier-judiciar-online/tulcea/ /servicii/cazier-judiciar-online/turda/ /servicii/cazier-judiciar-online/vaslui/ /servicii/cazier-judiciar-online/zalau/
h1,Calculator {LOC}2026,15,calculator,/calculator/amenda-circulatie/ /calculator/concediu-maternitate/ /calculator/concediu-medical/ /calculator/concediu-paternal/ /calculator/contributii-pfa/ /calculator/credit-ipotecar/ /calculator/diurna/ /calculator/dividende/ /calculator/dobanda-legala/ /calculator/pensie-alimentara/ /calculator/taxe-notariale/ /calculator/taxe-srl/ /calculator/termene-judiciare/ /calculator/tva/ /calculator/zile-lucratoare/
h1,{LOC}de {LOC}Online,5,serviciu,/servicii/certificat-de-integritate-comportamentala/ /servicii/certificat-urbanism-informare/ /servicii/eliberare-certificat-de-casatorie/ /servicii/eliberare-certificat-de-celibat/ /servicii/extras-de-carte-funciara/
h1,{LOC},4,calculator|legal|serviciu|tool,/calculator/calculator-procente/ /contact/ /servicii/cazier-judiciar-online/ /tools/verificare-rovinieta-online/
h1,Calculator {LOC}de {LOC},4,calculator,/calculator/pensie-invaliditate/ /calculator/taxa-judiciara-de-timbru/ /calculator/varsta-pensionare/ /calculator/zile-concediu-odihna/
h1,Calculator {LOC}pe {LOC}2026,3,calculator,/calculator/impozit-casa/ /calculator/impozit-chirie/ /calculator/impozit-pensie/
h1,{LOC}2026,3,calculator,/calculator/calculator-data/ /calculator/calculator-impozit-auto/ /calculator/calculator-indemnizatie-crestere-copil/
h1,Calculator {LOC},2,calculator,/calculator/estimare-pensie/ /calculator/inflatie/
h1,{LOC}de {LOC}— pentru UE,2,serviciu,/servicii/extras-multilingv-certificat-casatorie/ /servicii/extras-multilingv-certificat-nastere/
h1,Calculator {LOC}de {LOC}2026,2,calculator,/calculator/grad-indatorare/ /calculator/indemnizatie-somaj/
h1,{LOC}de {LOC}din Străinătate: Ghid Complet,2,articol,/transcriere-certificat-de-casatorie/ /transcriere-certificat-de-nastere/
h2_1,Ce este extrasul de carte funciară,42,locatie-cf,/servicii/extras-de-carte-funciara/alba/ /servicii/extras-de-carte-funciara/arad/ /servicii/extras-de-carte-funciara/arges/ /servicii/extras-de-carte-funciara/bacau/ /servicii/extras-de-carte-funciara/bihor/ /servicii/extras-de-carte-funciara/bistrita-nasaud/ /servicii/extras-de-carte-funciara/botosani/ /servicii/extras-de-carte-funciara/braila/ /servicii/extras-de-carte-funciara/brasov/ /servicii/extras-de-carte-funciara/bucuresti/ /servicii/extras-de-carte-funciara/buzau/ /servicii/extras-de-carte-funciara/calarasi/ /servicii/extras-de-carte-funciara/caras-severin/ /servicii/extras-de-carte-funciara/cluj/ /servicii/extras-de-carte-funciara/constanta/ /servicii/extras-de-carte-funciara/covasna/ /servicii/extras-de-carte-funciara/dambovita/ /servicii/extras-de-carte-funciara/dolj/ /servicii/extras-de-carte-funciara/galati/ /servicii/extras-de-carte-funciara/giurgiu/ /servicii/extras-de-carte-funciara/gorj/ /servicii/extras-de-carte-funciara/harghita/ /servicii/extras-de-carte-funciara/hunedoara/ /servicii/extras-de-carte-funciara/ialomita/ /servicii/extras-de-carte-funciara/iasi/ /servicii/extras-de-carte-funciara/ilfov/ /servicii/extras-de-carte-funciara/maramures/ /servicii/extras-de-carte-funciara/mehedinti/ /servicii/extras-de-carte-funciara/mures/ /servicii/extras-de-carte-funciara/neamt/ /servicii/extras-de-carte-funciara/olt/ /servicii/extras-de-carte-funciara/prahova/ /servicii/extras-de-carte-funciara/salaj/ /servicii/extras-de-carte-funciara/satu-mare/ /servicii/extras-de-carte-funciara/sibiu/ /servicii/extras-de-carte-funciara/suceava/ /servicii/extras-de-carte-funciara/teleorman/ /servicii/extras-de-carte-funciara/timis/ /servicii/extras-de-carte-funciara/tulcea/ /servicii/extras-de-carte-funciara/valcea/ /servicii/extras-de-carte-funciara/vaslui/ /servicii/extras-de-carte-funciara/vrancea/
h2_1,Cazier judiciar {LOC}la ghișeu — sediul IPJ {LOC},41,locatie-cazier,/servicii/cazier-judiciar-online/alba-iulia/ /servicii/cazier-judiciar-online/alexandria/ /servicii/cazier-judiciar-online/arad/ /servicii/cazier-judiciar-online/bacau/ /servicii/cazier-judiciar-online/baia-mare/ /servicii/cazier-judiciar-online/bistrita/ /servicii/cazier-judiciar-online/botosani/ /servicii/cazier-judiciar-online/braila/ /servicii/cazier-judiciar-online/brasov/ /servicii/cazier-judiciar-online/buzau/ /servicii/cazier-judiciar-online/calarasi/ /servicii/cazier-judiciar-online/cluj-napoca/ /servicii/cazier-judiciar-online/constanta/ /servicii/cazier-judiciar-online/craiova/ /servicii/cazier-judiciar-online/deva/ /servicii/cazier-judiciar-online/drobeta-turnu-severin/ /servicii/cazier-judiciar-online/focsani/ /servicii/cazier-judiciar-online/galati/ /servicii/cazier-judiciar-online/giurgiu/ /servicii/cazier-judiciar-online/iasi/ /servicii/cazier-judiciar-online/ilfov/ /servicii/cazier-judiciar-online/miercurea-ciuc/ /servicii/cazier-judiciar-online/oradea/ /servicii/cazier-judiciar-online/piatra-neamt/ /servicii/cazier-judiciar-online/pitesti/ /servicii/cazier-judiciar-online/ploiesti/ /servicii/cazier-judiciar-online/ramnicu-valcea/ /servicii/cazier-judiciar-online/resita/ /servicii/cazier-judiciar-online/satu-mare/ /servicii/cazier-judiciar-online/sfantu-gheorghe/ /servicii/cazier-judiciar-online/sibiu/ /servicii/cazier-judiciar-online/slatina/ /servicii/cazier-judiciar-online/slobozia/ /servicii/cazier-judiciar-online/suceava/ /servicii/cazier-judiciar-online/targoviste/ /servicii/cazier-judiciar-online/targu-jiu/ /servicii/cazier-judiciar-online/targu-mures/ /servicii/cazier-judiciar-online/timisoara/ /servicii/cazier-judiciar-online/tulcea/ /servicii/cazier-judiciar-online/vaslui/ /servicii/cazier-judiciar-online/zalau/
h2_1,Cazier judiciar {LOC}la ghișeu,7,locatie-cazier,/servicii/cazier-judiciar-online/barlad/ /servicii/cazier-judiciar-online/bucuresti/ /servicii/cazier-judiciar-online/lugoj/ /servicii/cazier-judiciar-online/medias/ /servicii/cazier-judiciar-online/onesti/ /servicii/cazier-judiciar-online/sebes/ /servicii/cazier-judiciar-online/turda/
h2_1,{LOC}de pe Certificatul de {LOC}— Online,2,serviciu,/servicii/extras-multilingv-certificat-casatorie/ /servicii/extras-multilingv-certificat-nastere/
h2_1,{LOC}de {LOC}— Duplicat sau Copie Legalizată Online,2,serviciu,/servicii/eliberare-certificat-de-casatorie/ /servicii/eliberare-certificat-de-nastere/
h2_1,Cum se calculează indemnizația de {LOC},2,calculator,/calculator/concediu-medical/ /calculator/indemnizatie-somaj/
h2_1,Ce este certificatul de {LOC}?,2,articol|serviciu,/ghid-complet-certificat-de-integritate-comportamentala/ /servicii/certificat-urbanism-informare/
h2_1,Ce este Certificatul de {LOC},2,serviciu,/servicii/certificat-de-integritate-comportamentala/ /servicii/eliberare-certificat-de-celibat/
h2_1,Ce este certificatul de {LOC}(Anexa 9),2,articol,/certificat-de-celibat-pentru-casatorie-in-strainatate/ /valabilitate-certificat-de-celibat/
h2_1,"Ce s-a întâmplat, pe scurt",2,articol,/ancpi-nu-functioneaza/ /ancpi-nu-functioneaza/?utm_source=embed&utm_medium=widget&utm_campaign=ancpi-status
h2_1,Răspunsul scurt,2,articol,/cat-costa-cadastrul-si-intabularea/ /cat-poti-construi-pe-teren/
