jaccard,a,b,classA,classB
0.707,/servicii/cazier-judiciar-online/focsani,/servicii/cazier-judiciar-online/slobozia,location: cazier oraș,location: cazier oraș
0.7069,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/botosani,location: CF județ,location: CF județ
0.7064,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.7063,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.7063,/servicii/extras-de-carte-funciara/neamt,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.706,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/gorj,location: CF județ,location: CF județ
0.706,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.7056,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/hunedoara,location: CF județ,location: CF județ
0.7055,/servicii/extras-de-carte-funciara/hunedoara,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.7048,/servicii/cazier-judiciar-online/botosani,/servicii/cazier-judiciar-online/targoviste,location: cazier oraș,location: cazier oraș
0.7048,/servicii/extras-de-carte-funciara/tulcea,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.7042,/servicii/extras-de-carte-funciara/mehedinti,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.704,/servicii/extras-de-carte-funciara/ialomita,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.7036,/servicii/extras-de-carte-funciara/buzau,/servicii/extras-de-carte-funciara/caras-severin,location: CF județ,location: CF județ
0.7035,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/buzau,location: CF județ,location: CF județ
0.7035,/servicii/extras-de-carte-funciara/mehedinti,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.7033,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.7031,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/harghita,location: CF județ,location: CF județ
0.7029,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/braila,location: CF județ,location: CF județ
0.7028,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.7028,/servicii/extras-de-carte-funciara/hunedoara,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.7025,/servicii/extras-de-carte-funciara/teleorman,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.7023,/servicii/cazier-judiciar-online/botosani,/servicii/cazier-judiciar-online/calarasi,location: cazier oraș,location: cazier oraș
0.7023,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/calarasi,location: CF județ,location: CF județ
0.7023,/servicii/extras-de-carte-funciara/neamt,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.702,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.7016,/servicii/extras-de-carte-funciara/salaj,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.7015,/servicii/cazier-judiciar-online/alexandria,/servicii/cazier-judiciar-online/resita,location: cazier oraș,location: cazier oraș
0.7012,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.7008,/servicii/cazier-judiciar-online/calarasi,/servicii/cazier-judiciar-online/targoviste,location: cazier oraș,location: cazier oraș
0.7007,/servicii/extras-de-carte-funciara/vaslui,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.7003,/servicii/cazier-judiciar-online/alexandria,/servicii/cazier-judiciar-online/vaslui,location: cazier oraș,location: cazier oraș
0.7002,/servicii/cazier-judiciar-online/alexandria,/servicii/cazier-judiciar-online/bistrita,location: cazier oraș,location: cazier oraș
0.7001,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.7,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/caras-severin,location: CF județ,location: CF județ
0.7,/servicii/extras-de-carte-funciara/arad,/servicii/extras-de-carte-funciara/caras-severin,location: CF județ,location: CF județ
0.7,/servicii/extras-de-carte-funciara/arad,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.7,/servicii/extras-de-carte-funciara/dambovita,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.6995,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/buzau,location: CF județ,location: CF județ
0.6994,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6994,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6992,/servicii/cazier-judiciar-online/alexandria,/servicii/cazier-judiciar-online/deva,location: cazier oraș,location: cazier oraș
0.6992,/servicii/extras-de-carte-funciara/caras-severin,/servicii/extras-de-carte-funciara/covasna,location: CF județ,location: CF județ
0.6992,/servicii/extras-de-carte-funciara/covasna,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.6989,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6989,/servicii/extras-de-carte-funciara/neamt,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6987,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/caras-severin,location: CF județ,location: CF județ
0.6987,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/hunedoara,location: CF județ,location: CF județ
0.6986,/servicii/cazier-judiciar-online/resita,/servicii/cazier-judiciar-online/vaslui,location: cazier oraș,location: cazier oraș
0.6986,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6986,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6986,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6986,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6984,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/calarasi,location: CF județ,location: CF județ
0.6983,/servicii/extras-de-carte-funciara/arad,/servicii/extras-de-carte-funciara/bacau,location: CF județ,location: CF județ
0.698,/servicii/extras-de-carte-funciara/caras-severin,/servicii/extras-de-carte-funciara/dambovita,location: CF județ,location: CF județ
0.6979,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6979,/servicii/extras-de-carte-funciara/olt,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6979,/servicii/extras-de-carte-funciara/salaj,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6979,/servicii/extras-de-carte-funciara/tulcea,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/gorj,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/gorj,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6978,/servicii/extras-de-carte-funciara/valcea,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.6977,/servicii/extras-de-carte-funciara/olt,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6972,/servicii/extras-de-carte-funciara/ialomita,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6972,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.6971,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.6971,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.6971,/servicii/extras-de-carte-funciara/ialomita,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.6971,/servicii/extras-de-carte-funciara/mehedinti,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/gorj,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/harghita,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/harghita,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.697,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6968,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/buzau,location: CF județ,location: CF județ
0.6965,/servicii/cazier-judiciar-online/focsani,/servicii/cazier-judiciar-online/resita,location: cazier oraș,location: cazier oraș
0.6965,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6964,/servicii/cazier-judiciar-online/focsani,/servicii/cazier-judiciar-online/ramnicu-valcea,location: cazier oraș,location: cazier oraș
0.6964,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.6963,/servicii/cazier-judiciar-online/bistrita,/servicii/cazier-judiciar-online/resita,location: cazier oraș,location: cazier oraș
0.6963,/servicii/cazier-judiciar-online/deva,/servicii/cazier-judiciar-online/vaslui,location: cazier oraș,location: cazier oraș
0.6963,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/bacau,location: CF județ,location: CF județ
0.6963,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.6962,/servicii/cazier-judiciar-online/bistrita,/servicii/cazier-judiciar-online/vaslui,location: cazier oraș,location: cazier oraș
0.6962,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/gorj,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/harghita,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6962,/servicii/extras-de-carte-funciara/neamt,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6961,/servicii/cazier-judiciar-online/alexandria,/servicii/cazier-judiciar-online/focsani,location: cazier oraș,location: cazier oraș
0.6961,/servicii/cazier-judiciar-online/resita,/servicii/cazier-judiciar-online/slobozia,location: cazier oraș,location: cazier oraș
0.6961,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6961,/servicii/extras-de-carte-funciara/hunedoara,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6961,/servicii/extras-de-carte-funciara/salaj,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.696,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.696,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.696,/servicii/extras-de-carte-funciara/hunedoara,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.6958,/servicii/cazier-judiciar-online/alexandria,/servicii/cazier-judiciar-online/slobozia,location: cazier oraș,location: cazier oraș
0.6956,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/calarasi,location: CF județ,location: CF județ
0.6956,/servicii/extras-de-carte-funciara/salaj,/servicii/extras-de-carte-funciara/satu-mare,location: CF județ,location: CF județ
0.6956,/servicii/extras-de-carte-funciara/teleorman,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.6954,/servicii/extras-de-carte-funciara/buzau,/servicii/extras-de-carte-funciara/calarasi,location: CF județ,location: CF județ
0.6953,/servicii/cazier-judiciar-online/deva,/servicii/cazier-judiciar-online/resita,location: cazier oraș,location: cazier oraș
0.6953,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/harghita,location: CF județ,location: CF județ
0.6953,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.6953,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6953,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6953,/servicii/extras-de-carte-funciara/hunedoara,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6953,/servicii/extras-de-carte-funciara/neamt,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6952,/servicii/extras-de-carte-funciara/arad,/servicii/extras-de-carte-funciara/bistrita-nasaud,location: CF județ,location: CF județ
0.6952,/servicii/extras-de-carte-funciara/dambovita,/servicii/extras-de-carte-funciara/gorj,location: CF județ,location: CF județ
0.6951,/servicii/cazier-judiciar-online/braila,/servicii/cazier-judiciar-online/resita,location: cazier oraș,location: cazier oraș
0.6951,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6949,/servicii/extras-de-carte-funciara/salaj,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6948,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/caras-severin,location: CF județ,location: CF județ
0.6947,/servicii/cazier-judiciar-online/alexandria,/servicii/cazier-judiciar-online/braila,location: cazier oraș,location: cazier oraș
0.6946,/servicii/extras-de-carte-funciara/calarasi,/servicii/extras-de-carte-funciara/caras-severin,location: CF județ,location: CF județ
0.6945,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/neamt,location: CF județ,location: CF județ
0.6945,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/hunedoara,location: CF județ,location: CF județ
0.6945,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/hunedoara,location: CF județ,location: CF județ
0.6945,/servicii/extras-de-carte-funciara/hunedoara,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6945,/servicii/extras-de-carte-funciara/ialomita,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6943,/servicii/cazier-judiciar-online/focsani,/servicii/cazier-judiciar-online/vaslui,location: cazier oraș,location: cazier oraș
0.6942,/servicii/cazier-judiciar-online/bistrita,/servicii/cazier-judiciar-online/focsani,location: cazier oraș,location: cazier oraș
0.694,/servicii/cazier-judiciar-online/braila,/servicii/cazier-judiciar-online/vaslui,location: cazier oraș,location: cazier oraș
0.694,/servicii/extras-de-carte-funciara/arad,/servicii/extras-de-carte-funciara/botosani,location: CF județ,location: CF județ
0.694,/servicii/extras-de-carte-funciara/arad,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/hunedoara,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/hunedoara,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6937,/servicii/extras-de-carte-funciara/ialomita,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6933,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/maramures,location: CF județ,location: CF județ
0.6933,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.6932,/servicii/cazier-judiciar-online/sfantu-gheorghe,/servicii/cazier-judiciar-online/slobozia,location: cazier oraș,location: cazier oraș
0.6932,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/bistrita-nasaud,location: CF județ,location: CF județ
0.6932,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6932,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/vrancea,location: CF județ,location: CF județ
0.6931,/servicii/extras-de-carte-funciara/arad,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.693,/servicii/cazier-judiciar-online/focsani,/servicii/cazier-judiciar-online/giurgiu,location: cazier oraș,location: cazier oraș
0.6929,/servicii/cazier-judiciar-online/slobozia,/servicii/cazier-judiciar-online/vaslui,location: cazier oraș,location: cazier oraș
0.6929,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/hunedoara,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/giurgiu,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/giurgiu,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/ialomita,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/mehedinti,/servicii/extras-de-carte-funciara/teleorman,location: CF județ,location: CF județ
0.6929,/servicii/extras-de-carte-funciara/olt,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6926,/servicii/cazier-judiciar-online/braila,/servicii/cazier-judiciar-online/slobozia,location: cazier oraș,location: cazier oraș
0.6924,/servicii/extras-de-carte-funciara/covasna,/servicii/extras-de-carte-funciara/gorj,location: CF județ,location: CF județ
0.6924,/servicii/extras-de-carte-funciara/dambovita,/servicii/extras-de-carte-funciara/harghita,location: CF județ,location: CF județ
0.6923,/servicii/cazier-judiciar-online/calarasi,/servicii/cazier-judiciar-online/giurgiu,location: cazier oraș,location: cazier oraș
0.6923,/servicii/extras-de-carte-funciara/dambovita,/servicii/extras-de-carte-funciara/giurgiu,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/bacau,/servicii/extras-de-carte-funciara/ialomita,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/giurgiu,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/bistrita-nasaud,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/botosani,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/braila,/servicii/extras-de-carte-funciara/mehedinti,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/giurgiu,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/olt,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/gorj,/servicii/extras-de-carte-funciara/salaj,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/harghita,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/maramures,/servicii/extras-de-carte-funciara/valcea,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/mehedinti,/servicii/extras-de-carte-funciara/vaslui,location: CF județ,location: CF județ
0.6921,/servicii/extras-de-carte-funciara/olt,/servicii/extras-de-carte-funciara/tulcea,location: CF județ,location: CF județ
0.692,/servicii/extras-de-carte-funciara/alba,/servicii/extras-de-carte-funciara/botosani,location: CF județ,location: CF județ
