Țara,Clicuri,Expuneri,CTR,Poziție
Venezuela,1,229,0.44%,7.29
Uzbekistan,1,192,0.52%,6.19
Georgia,1,145,0.69%,6.14
Macedonia,1,141,0.71%,5.56
Republica Dominicană,1,105,0.95%,7.03
Regiune necunoscută,1,105,0.95%,9.23
Oman,1,104,0.96%,6.47
Noua Zeelandă,1,93,1.08%,7.49
Estonia,1,92,1.09%,7.59
Panama,1,80,1.25%,7.79
Congo – Kinshasa,1,49,2.04%,4.92
Andorra,1,29,3.45%,6.38
Camerun,1,28,3.57%,8.5
Monaco,1,21,4.76%,4.67
Capul Verde,1,16,6.25%,5.62
Guyana,1,16,6.25%,9.31
Polinezia Franceză,1,15,6.67%,4.33
Bermude,1,13,7.69%,4.92
Swaziland,1,6,16.67%,3.33
Botswana,1,5,20%,20.8
Bangladesh,0,365,0%,10.89
Kenya,0,143,0%,7.62
Belarus,0,135,0%,6.89
Palestina,0,130,0%,6.25
Jamaica,0,98,0%,6.23
Liban,0,98,0%,6.26
Etiopia,0,77,0%,7.22
Uruguay,0,72,0%,6.07
Trinidad și Tobago,0,69,0%,5.32
Libia,0,65,0%,5.75
Laos,0,62,0%,4.27
Bolivia,0,61,0%,9.44
Nepal,0,60,0%,7.52
Côte d’Ivoire,0,55,0%,22.22
Tanzania,0,51,0%,6.49
Ghana,0,49,0%,11
Sri Lanka,0,46,0%,6.98
Honduras,0,45,0%,6.76
Burkina Faso,0,41,0%,5.83
Afganistan,0,40,0%,4.97
Uganda,0,40,0%,5.3
Porto Rico,0,39,0%,5.82
Cambodgia,0,39,0%,10.87
Barbados,0,38,0%,5.16
Bahamas,0,35,0%,5.63
Cuba,0,32,0%,6.31
Guatemala,0,29,0%,6.97
Madagascar,0,29,0%,8.14
Mauritius,0,25,0%,6.72
Yemen,0,22,0%,5.27
El Salvador,0,21,0%,6.57
Togo,0,20,0%,11.5
Myanmar (Burma),0,19,0%,11
Nicaragua,0,18,0%,5.83
San Marino,0,18,0%,6.78
Kârgâzstan,0,18,0%,10
Guernsey,0,17,0%,5.76
Tadjikistan,0,16,0%,4.25
Congo – Brazzaville,0,16,0%,8.5
Mongolia,0,16,0%,11.69
Curaçao,0,15,0%,6.07
Maldive,0,15,0%,6.27
Zambia,0,15,0%,21.6
Rwanda,0,14,0%,5.93
Benin,0,13,0%,4.85
Sudan,0,13,0%,5.69
Mali,0,12,0%,5.17
Belize,0,12,0%,8.5
Namibia,0,11,0%,4
Aruba,0,11,0%,4.18
Macau,0,11,0%,4.36
Gabon,0,11,0%,5.91
Insula Man,0,11,0%,6
Martinica,0,10,0%,7.2
Mozambic,0,9,0%,5.22
Republica Centrafricană,0,9,0%,5.44
Haiti,0,9,0%,16.22
Insulele Aland,0,8,0%,4.25
Bhutan,0,8,0%,5.12
Liechtenstein,0,8,0%,18.62
Mauritania,0,7,0%,5.57
Noua Caledonie,0,7,0%,5.57
Réunion,0,7,0%,6
Guineea,0,7,0%,6.57
Insulele Cayman,0,6,0%,5.17
Brunei,0,6,0%,5.67
Gambia,0,5,0%,7.6
Guadelupa,0,5,0%,8.8
Seychelles,0,4,0%,3.25
Turkmenistan,0,4,0%,4.25
Groenlanda,0,4,0%,4.75
Antilele Neerlandeze,0,4,0%,6
Mayotte,0,4,0%,6.75
Ciad,0,4,0%,6.75
Sierra Leone,0,4,0%,7
Djibouti,0,4,0%,7.5
St. Lucia,0,3,0%,1
Saint Kitts și Nevis,0,3,0%,3.67
Burundi,0,3,0%,4.33
Papua Noua Guinee,0,3,0%,5
Fiji,0,3,0%,5.33
Timorul de Est (Timor-Leste),0,3,0%,5.33
Saint-Martin,0,3,0%,5.67
Surinam,0,3,0%,5.67
Svalbard și Jan Mayen,0,3,0%,6.33
Sahara de Vest,0,3,0%,7.33
Saint Vincent și Grenadinele,0,3,0%,10.67
Grenada,0,2,0%,4
Niger,0,2,0%,4
Coreea de Nord,0,2,0%,5
Insulele Turks și Caicos,0,2,0%,5.5
Sudanul de Sud,0,2,0%,6
Guam,0,2,0%,6.5
Kiribati,0,2,0%,6.5
Malawi,0,2,0%,7
Dominica,0,2,0%,8.5
Antarctica,0,1,0%,1
Antigua și Barbuda,0,1,0%,2
Insulele Virgine Britanice,0,1,0%,2
Samoa,0,1,0%,2
Sint-Maarten,0,1,0%,3
Insulele Virgine (S.U.A.),0,1,0%,4
Guineea Ecuatorială,0,1,0%,5
Comore,0,1,0%,7
Guiana Franceză,0,1,0%,7
Liberia,0,1,0%,7
Sfânta Elena,0,1,0%,7
Anguilla,0,1,0%,8
Insulele Cook,0,1,0%,10
Tonga,0,1,0%,10
Lesotho,0,1,0%,11
