Țara,Clicuri,Expuneri,CTR,Poziție
Macedonia,1,119,0.84%,5.49
Republica Dominicană,1,112,0.89%,7.08
Regiune necunoscută,1,106,0.94%,9.27
Georgia,1,104,0.96%,7
Noua Zeelandă,1,102,0.98%,8.7
Azerbaidjan,1,100,1%,7.68
Panama,1,98,1.02%,7.53
Estonia,1,93,1.08%,9.69
Oman,1,92,1.09%,7.84
Andorra,1,32,3.12%,6.59
Monaco,1,29,3.45%,4.69
Uganda,1,29,3.45%,5.28
Capul Verde,1,19,5.26%,5.47
Camerun,1,19,5.26%,12.68
Guyana,1,16,6.25%,9.62
Bermude,1,14,7.14%,5.64
Liechtenstein,1,11,9.09%,19.64
Swaziland,1,5,20%,2.4
Botswana,1,4,25%,25
Sint-Maarten,1,2,50%,3
Bangladesh,0,306,0%,12.25
Belarus,0,121,0%,7.18
Kenya,0,121,0%,9.94
Muntenegru,0,108,0%,6.33
Palestina,0,106,0%,7.51
Jamaica,0,100,0%,6.06
Uruguay,0,80,0%,7.36
Trinidad și Tobago,0,70,0%,5.54
Liban,0,70,0%,7.36
Bolivia,0,67,0%,9.96
Etiopia,0,66,0%,9.71
Nepal,0,62,0%,8.42
Laos,0,59,0%,3.97
Libia,0,57,0%,6.12
Honduras,0,49,0%,7.47
Sri Lanka,0,46,0%,8.3
Barbados,0,42,0%,4.83
Côte d’Ivoire,0,40,0%,28.4
Bahamas,0,38,0%,5.37
Guatemala,0,37,0%,6.81
Cuba,0,35,0%,6.26
Burkina Faso,0,34,0%,6.26
Cambodgia,0,34,0%,11.5
Porto Rico,0,31,0%,6.1
Ghana,0,31,0%,13.61
Tanzania,0,27,0%,9.15
Afganistan,0,25,0%,6.08
Myanmar (Burma),0,22,0%,11.68
El Salvador,0,21,0%,6.62
Nicaragua,0,20,0%,5.7
Guernsey,0,18,0%,5.94
Madagascar,0,18,0%,10.78
Kârgâzstan,0,18,0%,12.06
Togo,0,18,0%,13.33
Mauritius,0,17,0%,6.71
Mongolia,0,17,0%,13.94
Maldive,0,16,0%,7.06
San Marino,0,15,0%,6.6
Congo – Brazzaville,0,14,0%,9.57
Rwanda,0,13,0%,6.77
Belize,0,13,0%,8.46
Benin,0,11,0%,5.27
Namibia,0,10,0%,3.5
Polinezia Franceză,0,10,0%,5
Mali,0,10,0%,5.5
Gabon,0,10,0%,6.2
Curaçao,0,10,0%,7.1
Martinica,0,10,0%,7.2
Bhutan,0,10,0%,8.5
Yemen,0,10,0%,11
Zambia,0,10,0%,29.8
Aruba,0,9,0%,3.78
Insulele Aland,0,9,0%,4.33
Insula Man,0,9,0%,5.44
Réunion,0,7,0%,6.29
Sudan,0,7,0%,6.29
Haiti,0,7,0%,18.57
Mozambic,0,6,0%,4.67
Republica Centrafricană,0,6,0%,4.83
Noua Caledonie,0,6,0%,6.17
Antilele Neerlandeze,0,6,0%,7.33
Guadelupa,0,6,0%,9
Timorul de Est (Timor-Leste),0,6,0%,13.67
Tadjikistan,0,5,0%,5.6
Mauritania,0,5,0%,6.2
Guineea,0,5,0%,7
Gambia,0,5,0%,7.6
St. Lucia,0,4,0%,2.5
Seychelles,0,4,0%,3.25
Turkmenistan,0,4,0%,4.25
Groenlanda,0,4,0%,4.75
Macau,0,4,0%,5.5
Fiji,0,4,0%,6.25
Malawi,0,4,0%,6.5
Coreea de Nord,0,4,0%,6.5
Insulele Cayman,0,4,0%,6.75
Mayotte,0,4,0%,7
Sierra Leone,0,4,0%,7
Svalbard și Jan Mayen,0,4,0%,8
Grenada,0,3,0%,3.33
Saint Kitts și Nevis,0,3,0%,3.67
Brunei,0,3,0%,5.33
Insulele Virgine (S.U.A.),0,3,0%,5.33
Saint-Martin,0,3,0%,5.67
Djibouti,0,3,0%,6.67
Ciad,0,3,0%,8
Saint Vincent și Grenadinele,0,3,0%,10.67
Antigua și Barbuda,0,2,0%,3.5
Papua Noua Guinee,0,2,0%,4.5
Guam,0,2,0%,6.5
Kiribati,0,2,0%,6.5
Dominica,0,2,0%,8.5
Antarctica,0,1,0%,1
Surinam,0,1,0%,2
Insulele Virgine Britanice,0,1,0%,2
Samoa,0,1,0%,2
Niger,0,1,0%,3
Guineea Ecuatorială,0,1,0%,5
Comore,0,1,0%,7
Guiana Franceză,0,1,0%,7
Liberia,0,1,0%,7
Sfânta Elena,0,1,0%,7
Insulele Turks și Caicos,0,1,0%,7
Anguilla,0,1,0%,8
Sudanul de Sud,0,1,0%,8
Sahara de Vest,0,1,0%,9
Tonga,0,1,0%,10
Lesotho,0,1,0%,11
Insulele Solomon,0,1,0%,48
