Țara,Clicuri,Expuneri,CTR,Poziție
Cambodgia,0,35,0%,11.71
Bahamas,0,34,0%,5.59
Guatemala,0,32,0%,7.88
Mauritius,0,29,0%,6.52
Cuba,0,27,0%,6.19
Yemen,0,24,0%,5.42
El Salvador,0,23,0%,7.48
Congo – Brazzaville,0,21,0%,7.52
Nicaragua,0,20,0%,5.7
Guernsey,0,19,0%,5.16
Togo,0,19,0%,8.21
Myanmar (Burma),0,19,0%,11.26
Benin,0,19,0%,18.32
San Marino,0,18,0%,6.83
Kârgâzstan,0,18,0%,10
Zambia,0,17,0%,19.76
Tadjikistan,0,16,0%,4.38
Mongolia,0,16,0%,11.69
Curaçao,0,15,0%,6.07
Rwanda,0,14,0%,5.86
Sudan,0,13,0%,5.69
Maldive,0,13,0%,6.08
Mali,0,12,0%,5.17
Mozambic,0,12,0%,5.33
Belize,0,12,0%,8.67
Namibia,0,11,0%,4
Aruba,0,11,0%,4.18
Macau,0,11,0%,4.36
Insula Man,0,11,0%,6
Gabon,0,11,0%,8.27
Haiti,0,10,0%,14.7
Insulele Aland,0,9,0%,4.89
Republica Centrafricană,0,9,0%,5.44
Martinica,0,9,0%,7.11
Bhutan,0,8,0%,5.12
Liechtenstein,0,8,0%,18.62
Mauritania,0,7,0%,5.57
Noua Caledonie,0,7,0%,5.57
Réunion,0,7,0%,6
Guineea,0,7,0%,6.57
Insulele Cayman,0,6,0%,5.17
Brunei,0,6,0%,5.67
St. Lucia,0,5,0%,3.4
Sierra Leone,0,5,0%,6.2
Gambia,0,5,0%,7.6
Guadelupa,0,5,0%,9
Seychelles,0,4,0%,3.75
Turkmenistan,0,4,0%,4.25
Groenlanda,0,4,0%,4.75
Antilele Neerlandeze,0,4,0%,6
Mayotte,0,4,0%,6.75
Ciad,0,4,0%,6.75
Djibouti,0,4,0%,7.5
Sudanul de Sud,0,4,0%,7.75
Grenada,0,3,0%,3.33
Saint Kitts și Nevis,0,3,0%,3.67
Burundi,0,3,0%,4.33
Papua Noua Guinee,0,3,0%,5
Fiji,0,3,0%,5.33
Timorul de Est (Timor-Leste),0,3,0%,5.33
Saint-Martin,0,3,0%,5.67
Surinam,0,3,0%,5.67
Svalbard și Jan Mayen,0,3,0%,6.33
Sahara de Vest,0,3,0%,7.33
Niger,0,2,0%,4
Coreea de Nord,0,2,0%,5
Insulele Turks și Caicos,0,2,0%,5.5
Guam,0,2,0%,6.5
Kiribati,0,2,0%,6.5
Malawi,0,2,0%,7
Dominica,0,2,0%,8.5
Antarctica,0,1,0%,1
Antigua și Barbuda,0,1,0%,2
Insulele Virgine Britanice,0,1,0%,2
Samoa,0,1,0%,2
Sint-Maarten,0,1,0%,3
Guineea Ecuatorială,0,1,0%,5
Comore,0,1,0%,7
Guiana Franceză,0,1,0%,7
Liberia,0,1,0%,7
Sfânta Elena,0,1,0%,7
Anguilla,0,1,0%,8
Insulele Cook,0,1,0%,10
Tonga,0,1,0%,10
Lesotho,0,1,0%,11
