 scor/1k  cuvinte  url
    13.1      761  /servicii/extras-de-carte-funciara/mehedinti/
    13.0      768  /servicii/extras-de-carte-funciara/bistrita-nasaud/
    13.0      770  /servicii/extras-de-carte-funciara/buzau/
    13.0      772  /servicii/extras-de-carte-funciara/covasna/
    13.0      771  /servicii/extras-de-carte-funciara/dambovita/
    13.0      771  /servicii/extras-de-carte-funciara/vrancea/
    12.9     1318  /servicii/cazier-judiciar-online/piatra-neamt/
    12.9     1314  /servicii/cazier-judiciar-online/satu-mare/
    12.9      773  /servicii/extras-de-carte-funciara/alba/
    12.9      773  /servicii/extras-de-carte-funciara/arad/
    12.9      930  /servicii/extras-de-carte-funciara/prahova/
    12.8     1323  /servicii/cazier-judiciar-online/iasi/
    12.8      780  /servicii/extras-de-carte-funciara/satu-mare/
    12.6     2468  /servicii/eliberare-certificat-de-celibat/
    12.6     2616  /servicii/certificat-de-integritate-comportamentala/
    12.6     1430  /calculator/taxe-notariale/
    12.6     1512  /calculator/impozit-pensie/
    12.6      871  /amenda-rovinieta-2025-tarife-plata-online-ghid-complet/
    12.6      791  /servicii/extras-de-carte-funciara/caras-severin/
    12.5     2486  /servicii/extras-multilingv-certificat-nastere/
    12.4     3157  /servicii/certificat-constatator-online/
    12.4     2497  /servicii/extras-multilingv-certificat-casatorie/
    12.2     1553  /calculator/amenda-circulatie/
    12.2      740  /informatii-cazier-auto-online/
    12.0     3012  /servicii/cazier-auto-online/
    12.0     1245  /certificat-de-nastere-pierdut/
    11.9      671  /suspendare-activitate-firma-ghid/
    11.9     1339  /certificat-de-nastere-din-strainatate/
    11.8      680  /transcriere-certificat-de-casatorie/
    11.8     1609  /valabilitate-certificat-de-celibat/
    11.7     3833  /servicii/extras-de-carte-funciara/
    11.7     1283  /calculator/credit-ipotecar/
    11.6     1468  /calculator/jugar-stanjen-in-mp/
    11.4     1850  /calculator/calculator-indemnizatie-crestere-copil/
    11.4      964  /cum-vor-arata-documentele-de-stare-civila-2025/
    11.3      795  /schimbare-certificat-de-nastere-vechi/
    11.2      805  /eliberare-certificat-constatator-onrc-ghid/
    11.2     1344  /duplicat-certificat-de-casatorie/
    11.1     2258  /servicii/certificat-urbanism-informare/
    10.9     1286  /calculator/spor-salarial/
    10.9      643  /ghid-complet-certificat-de-integritate-comportamentala/
    10.6     1316  /duplicat-certificat-de-nastere/
    10.5     2671  /servicii/cazier-fiscal-online/
    10.5     1337  /acte-necesare-casatorie/
    10.4      479  /curs-valutar/
    10.4      577  /ce-este-planul-cadastral/
    10.3      776  /servicii/rovinieta-online/
    10.3     1259  /calculator/termene-judiciare/
    10.2     1274  /calculator/dobanda-legala/
    10.2      689  /acte-necesare-certificat-de-nastere/
     9.9     1910  /blog/
     9.8     1320  /calculator/indemnizatie-somaj/
     9.7     1232  /certificat-constatator-pentru-licitatie/
     9.6     1150  /apostila-de-la-haga-ghid-acte-obtinere/
     9.5      842  /tools/verificare-rovinieta-online/
     9.5      739  /valabilitate-extras-de-carte-funciara/
     9.2      652  /ce-este-un-releveu/
     8.8     2281  /servicii/copie-contract-vanzare/
     8.8     1361  /certificat-constatator-pentru-fonduri-europene/
     8.5     2246  /servicii/cazier-judiciar-online/persoana-fizica/
     8.2     2331  /servicii/actualizare-adresa-cf/
     8.2     1471  /cazier-judiciar-online-gratuit/
     7.9      126  /tools/
     7.8     2295  /servicii/identificare-imobil/
     7.7     2212  /servicii/extras-plan-cadastral/
     7.7     1430  /inregistrare-nastere-copil-nou-nascut/
     7.6     1316  /calculator/impozit-chirie/
     7.6     1184  /calculator/varsta-pensionare/
     7.6     1057  /extras-de-carte-funciara-pentru-casa-verde/
     7.5     2254  /servicii/copie-releveu/
     7.4     1484  /calculator/inflatie/
     7.3     2326  /servicii/certificat-sarcini/
     7.3     1515  /certificat-constatator-pentru-banca/
     7.2     2371  /servicii/copie-arhiva-ocpi/
     7.2     2229  /servicii/copie-plan-incadrare/
     7.2     2218  /servicii/cazier-judiciar-online/persoana-juridica/
     6.9     1311  /calculator/concediu-maternitate/
     6.8     2349  /servicii/extras-cf-colectiv/
     6.7     1201  /calculator/estimare-pensie/
     6.5     2305  /servicii/plan-amplasament-delimitare/
     6.5     2472  /servicii/certificat-detineri-imobile/
     6.5     1075  /calculator/taxe-srl/
     6.3     1419  /calculator/calculator-data/
     6.2     2260  /servicii/copie-plan-cadastral/
     6.0     2337  /servicii/copie-inventar-coordonate/
     6.0     2336  /servicii/copie-intabulare/
     5.9     1528  /cazier-fiscal-persoana-fizica/
     5.5     2361  /servicii/identificare-imobile-proprietar/
     5.5     1446  /calculator/grad-indatorare/
     5.4     1478  /calculator/impozit-casa/
     5.1      196  /contact/
     5.1     2357  /servicii/copie-carte-funciara/
     5.0      808  /taxa-cazier-judiciar/
     4.1      974  /calculator/rambursare-anticipata/
     3.9      518  /calculator/
     3.3      613  /rolul-si-atributiile-onrc-romania/
     2.9     1385  /cazier-judiciar-vs-certificat-integritate-comportamentala/
     1.6     1851  /verificare-cazier-fiscal/
     1.3     2243  /certificat-de-nastere-pentru-buletin-pasaport/
     1.3     3118  /tabel-varsta-pensionare-anticipata-femei/
     1.2      833  /servicii/
     1.1     1901  /cazier-fiscal-fara-spv/
     1.1      944  /totul-despre-cartea-funciara-colectiva/
     0.5     1931  /cazier-fiscal-firma/
     0.0      210  /gdpr/
